strategy_name,player_initial_score,dealer_upcard_value,player_final_score,player_bust,player_blackjack,result
Basic,14,10,24,True,False,loss
Basic,20,11,20,False,False,win
Basic,13,10,23,True,False,loss
Basic,13,9,18,False,False,win
Basic,15,9,17,False,False,loss
Basic,10,6,18,False,False,win
Basic,20,5,20,False,False,win
Basic,15,3,25,True,False,loss
Basic,14,9,18,False,False,loss
Basic,13,9,21,False,False,win
Basic,13,10,23,True,False,loss
Basic,10,6,17,False,False,loss
Basic,16,6,20,False,False,win
Basic,19,2,19,False,False,win
Basic,19,11,19,False,False,win
Basic,12,10,18,False,False,win
Basic,13,11,21,False,False,win
Basic,18,6,18,False,False,loss
Basic,16,7,19,False,False,win
Basic,9,3,17,False,False,loss
Basic,7,10,21,False,False,win
Basic,16,11,17,False,False,loss
Basic,13,3,17,False,False,win
Basic,14,11,14,False,False,loss
Basic,12,7,21,False,False,win
Basic,21,8,21,False,True,win
Basic,16,10,24,True,False,loss
Basic,16,8,26,True,False,loss
Basic,10,10,20,False,False,win
Basic,16,10,26,True,False,loss
Basic,17,10,17,False,False,loss
Basic,9,10,21,False,False,win
Basic,17,10,17,False,False,loss
Basic,14,9,17,False,False,win
Basic,20,10,20,False,False,win
Basic,11,10,21,False,False,win
Basic,5,9,21,False,False,win
Basic,14,5,24,True,False,loss
Basic,15,3,25,True,False,loss
Basic,14,10,19,False,False,win
Basic,13,10,23,True,False,loss
Basic,13,5,19,False,False,loss
Basic,21,8,21,False,True,win
Basic,9,10,23,True,False,loss
Basic,21,7,21,False,True,win
Basic,21,3,21,False,True,win
Basic,15,3,20,False,False,win
Basic,9,11,9,False,False,loss
Basic,12,5,21,False,False,win
Basic,11,6,17,False,False,loss
Basic,13,4,19,False,False,win
Basic,12,10,22,True,False,loss
Basic,19,2,19,False,False,win
Basic,19,10,19,False,False,win
Basic,13,3,24,True,False,loss
Basic,18,5,18,False,False,draw
Basic,6,9,17,False,False,loss
Basic,17,8,17,False,False,loss
Basic,17,5,17,False,False,win
Basic,9,10,22,True,False,loss
Basic,18,9,18,False,False,draw
Basic,19,11,19,False,False,loss
Basic,18,5,18,False,False,loss
Basic,12,11,22,True,False,loss
Basic,9,3,17,False,False,win
Basic,10,5,19,False,False,draw
Basic,17,9,17,False,False,loss
Basic,7,3,24,True,False,loss
Basic,20,9,20,False,False,draw
Basic,12,10,19,False,False,win
Basic,5,6,23,True,False,loss
Basic,11,10,19,False,False,loss
Basic,16,8,18,False,False,draw
Basic,15,9,21,False,False,win
Basic,21,10,21,False,True,win
Basic,12,10,20,False,False,win
Basic,12,8,19,False,False,loss
Basic,20,10,20,False,False,win
Basic,5,2,21,False,False,win
Basic,8,9,18,False,False,draw
Basic,14,6,24,True,False,loss
Basic,12,10,19,False,False,win
Basic,20,5,20,False,False,draw
Basic,13,11,23,True,False,loss
Basic,20,8,20,False,False,win
Basic,18,4,18,False,False,loss
Basic,14,8,17,False,False,loss
Basic,20,11,20,False,False,loss
Basic,8,10,18,False,False,draw
Basic,20,6,20,False,False,win
Basic,9,10,19,False,False,win
Basic,13,10,25,True,False,loss
Basic,14,10,21,False,False,win
Basic,11,10,21,False,False,win
Basic,13,3,23,True,False,loss
Basic,6,2,23,True,False,loss
Basic,19,4,19,False,False,win
Basic,21,3,21,False,True,win
Basic,9,10,23,True,False,loss
Basic,18,10,18,False,False,win
Basic,13,10,17,False,False,draw
Basic,12,8,18,False,False,win
Basic,7,5,22,True,False,loss
Basic,17,9,17,False,False,loss
Basic,12,8,18,False,False,draw
Basic,12,10,12,False,False,loss
Basic,21,10,21,False,True,win
